text,storypoint
report executor termination framework scheduler scheduler interface callback executorlost currently call,2
mesos slave cache executor slave smart handle pull executor environment executor rarely change slave pull regardless hdfs put undue stress hdfs cluster resilient reduce hdfs availability,5
expose task_faile reason framework message string inside taskstatus provide human readable information task_faile good add structure failure reason framework scheduler act programmatically eg enum taskfailure   executor_oom executor_out_of_disk executor_terminate slave_lost etc,8
balloon framework fail run bad flag suspect late flag refactor vinodsmfdbkq03sr4 build sudo glog_v1 binmesostestssh gtest_filterballoon verbose warning log initgooglelogge write stderr i0529 222813094351 31506 processcpp1426 libprocess initialize 103718410353425 24 cpu i0529 222813095010 31506 loggingcpp91 log stderr source directory homevinodmesos build directory homevinodmesosbuild   run cgroup test require mount hierarchy follow hierarchy mount cgroup disable cgroupsnohierarchytest test fixture   note google test filter   ballooncgroupsnohierarchytestroot_cgroups_nohierarchy_mountunmounthierarchy   run 1 test 1 test case   global test environment setup   1 test cgroupsisolatort   run   cgroupsisolatortestroot_cgroups_balloonframework temporary directory tmpcgroupsisolatortest_root_cgroups_balloonframework_pwwde1 launch master 31574 fail load unknown flag build_dir usage ltmesosmaster   support option allocation_intervalvalue time wait perform batch allocation eg 500ms 1sec etc default 1secs clustervalue human readable cluster display webui framework_sortervalue policy use allocate resource give user framework option user_allocator default drf nohelp print help message default false ipvalue ip address listen log_dirvalue location log file default write disk specify affect log stderr logbufsecsvalue second buffer log message default 0 portvalue port listen default 5050 noquiet disable log stderr default false noroot_submission root submit framework default true slavesvalue initial slave consider cluster zookeeper url default   user_sortervalue policy use allocate resource user dominant_resource_fairness drf default drf webui_dirvalue location webui filesasset default usrlocalsharemesoswebui whitelistvalue path file list slave line advertise offer form filepathtofile default   zkvalue zookeeper url leader election master zkhost1port1host2port2path zkusernamepasswordhost1port1host2port2path filepathtofile file contain default   redmaster crash fail test homevinodmesossrctestsballoon_framework_testsh line 31 kill 31574   process srctestsscriptcpp76 failure fail balloon_framework_testsh exit status 2   fail   cgroupsisolatortestroot_cgroups_balloonframework 2031 ms   1 test cgroupsisolatort 2031 ms total   global test environment teardown   1 test 1 test case run 2031 ms total   pass   0 test   fail   1 test list   fail   cgroupsisolatortestroot_cgroups_balloonframework 1 fail test,1
check git diff shortstat stage postreviewspy current check change run postreviewspy not check stage change iiuc lose,1
static file miss lastmodified http header static asset serve mesos master not return lastmodified http header mean client receive 200 status code redownload asset page request asset not change angular js work downloading happen navigate mesos master browser use browser refresh example header mesoscss http11 200 ok date thu 26 sep 2013 171852 gmt contentlength 1670 contenttype textcss client use date header effect lastmodified date time response server ie change request make asset look new time lastmodified header add modify time file subsequent request file master return 304 response content 200 file save client lot download time meso asset heavyweight,2
expose total number resource allocate slave endpoint useful information bug masterslave cause slave overcommit resource,2
slaverecoverytest0reconciletasksmissingfromslave test flaky   run   slaverecoverytest0reconciletasksmissingfromslave checkpointing executor fork pid 32281 tmpslaverecoverytest_0_reconciletasksmissingfromslave_nt1btbmetaslaves2013101519131677734335153314910frameworks2013101519131677734335153314910000executors0514b52f3c174ee5ba16635198701ca2runs97c9e2ccceea40a8a915aed5fed1dcb3pidsforkedpid fetching resource tmpslaverecoverytest_0_reconciletasksmissingfromslave_nt1btbslaves2013101519131677734335153314910frameworks2013101519131677734335153314910000executors0514b52f3c174ee5ba16635198701ca2runs97c9e2ccceea40a8a915aed5fed1dcb3 register executor localhostlocaldomain start task 0514b52f3c174ee5ba16635198701ca2 fork command 32317 sh c sleep 10 testsslave_recovery_testscpp1927 failure mock function call time expect   return directly function statusupdate0x7fffae636eb0 0x7f1590027a00 64byte object f02f d0a1 157f 0000 0000 0000 0000 0000 40e9 0190 157f 0000 206b 0390 157f 0000 4891 c300 0000 0000 b03b 0190 157f 0000 0500 0000 0000 0000 1700 0000 0000 0000 expect call actual call twice   oversaturate active command exit status 0 pid 32317,1
update semantic framework registeredreregistere call current semantic 1 framework connect w master time   register 2 framework reconnect w master zk blip   reregistere 3 framework reconnect w fail master   register 4 fail framework connect w master   register 5 fail framework connect w fail master   register update semantic 3 framework reconnect w fail master   reregistere,3
examplestestjavaframework flaky identify cause following test failure   run   examplestestjavaframework temporary directory tmpexamplestest_javaframework_wsc7u8 enable authentication framework i1120 151339820032 1681264640 mastercpp285 master start 1722513317152576 i1120 151339820180 1681264640 mastercpp299 master d 2013112015132877626796525763234 i1120 151339820194 1681264640 mastercpp302 master allow authenticated framework register i1120 151339821197 1679654912 slavecpp112 slave start 11722513317152576 i1120 151339821795 1679654912 slavecpp212 slave resource cpus4 mem7168 disk481998 ports3100032000 i1120 151339822855 1682337792 slavecpp112 slave start 21722513317152576 i1120 151339823652 1682337792 slavecpp212 slave resource cpus4 mem7168 disk481998 ports3100032000 i1120 151339825330 1679118336 mastercpp744 newly elect leader master1722513317152576 i1120 151339825445 1679118336 mastercpp748 elect lead master i1120 151339825907 1681264640 statecpp33 recover state tmpexamplestest_javaframework_wsc7u80meta i1120 151339826127 1681264640 status_update_managercpp180 recover status update manager i1120 151339826331 1681801216 process_isolatorcpp317 recover isolator i1120 151339826738 1682874368 slavecpp2743 finish recovery i1120 151339827747 1682337792 statecpp33 recover state tmpexamplestest_javaframework_wsc7u81meta i1120 151339827945 1680191488 slavecpp112 slave start 31722513317152576 i1120 151339828415 1682337792 status_update_managercpp180 recover status update manager i1120 151339828608 1680728064 schedcpp260 authenticating master master1722513317152576 i1120 151339828606 1680191488 slavecpp212 slave resource cpus4 mem7168 disk481998 ports3100032000 i1120 151339828680 1682874368 slavecpp497 new master detect master1722513317152576 i1120 151339828765 1682337792 process_isolatorcpp317 recover isolator i1120 151339829828 1680728064 schedcpp229 detect new master i1120 151339830288 1679654912 authenticateehpp100 initialize client sasl i1120 151339831635 1680191488 statecpp33 recover state tmpexamplestest_javaframework_wsc7u82meta i1120 151339831991 1679118336 status_update_managercpp158 new master detect master1722513317152576 i1120 151339832042 1682874368 slavecpp524 detect new master i1120 151339832314 1682337792 slavecpp2743 finish recovery i1120 151339832309 1681264640 mastercpp1266 attempt register slave vkonelocal slave11722513317152576 i1120 151339832929 1680728064 status_update_managercpp180 recover status update manager i1120 151339833371 1681801216 slavecpp497 new master detect master1722513317152576 i1120 151339833273 1681264640 mastercpp2513 add slave 20131120151328776267965257632340 vkonelocal cpus4 mem7168 disk481998 ports3100032000 i1120 151339833595 1680728064 process_isolatorcpp317 recover isolator i1120 151339833859 1681801216 slavecpp524 detect new master i1120 151339833861 1682874368 status_update_managercpp158 new master detect master1722513317152576 i1120 151339834092 1680191488 slavecpp542 register master master1722513317152576 give slave d 20131120151328776267965257632340 i1120 151339834486 1681264640 mastercpp1266 attempt register slave vkonelocal slave21722513317152576 i1120 151339834549 1681264640 mastercpp2513 add slave 20131120151328776267965257632341 vkonelocal cpus4 mem7168 disk481998 ports3100032000 i1120 151339834750 1680191488 slavecpp555 checkpointing slaveinfo tmpexamplestest_javaframework_wsc7u80metaslaves20131120151328776267965257632340slaveinfo i1120 151339834875 1682874368 hierarchical_allocator_processhpp445 add slave 20131120151328776267965257632340 vkonelocal cpus4 mem7168 disk481998 ports3100032000 cpus4 mem7168 disk481998 ports3100032000 available i1120 151339835155 1680728064 slavecpp542 register master master1722513317152576 give slave d 20131120151328776267965257632341 i1120 151339835458 1679118336 slavecpp2743 finish recovery i1120 151339835739 1680728064 slavecpp555 checkpointing slaveinfo tmpexamplestest_javaframework_wsc7u81metaslaves20131120151328776267965257632341slaveinfo i1120 151339835922 1682874368 hierarchical_allocator_processhpp445 add slave 20131120151328776267965257632341 vkonelocal cpus4 mem7168 disk481998 ports3100032000 cpus4 mem7168 disk481998 ports3100032000 available i1120 151339836120 1681264640 slavecpp497 new master detect master1722513317152576 i1120 151339836340 1679118336 status_update_managercpp158 new master detect master1722513317152576 i1120 151339836436 1681264640 slavecpp524 detect new master i1120 151339836629 1682874368 mastercpp1266 attempt register slave vkonelocal slave31722513317152576 i1120 151339836653 1682874368 mastercpp2513 add slave 20131120151328776267965257632342 vkonelocal cpus4 mem7168 disk481998 ports3100032000 i1120 151339836804 1680728064 slavecpp542 register master master1722513317152576 give slave d 20131120151328776267965257632342 i1120 151339837190 1680728064 slavecpp555 checkpointing slaveinfo tmpexamplestest_javaframework_wsc7u82metaslaves20131120151328776267965257632342slaveinfo i1120 151339837569 1682874368 hierarchical_allocator_processhpp445 add slave 20131120151328776267965257632342 vkonelocal cpus4 mem7168 disk481998 ports3100032000 cpus4 mem7168 disk481998 ports3100032000 available i1120 151339852011 1679654912 authenticateehpp124 create new client sasl connection i1120 151339852219 1680191488 mastercpp1734 authenticating framework scheduler11722513317152576 i1120 151339852577 1682337792 authenticatorhpp83 initialize server sasl i1120 151339856160 1682337792 authenticatorhpp140 create new server sasl connection i1120 151339856334 1681264640 authenticateehpp212 receive sasl authentication mechanism crammd5 i1120 151339856360 1681264640 authenticateehpp238 attempt authenticate mechanism crammd5 i1120 151339856421 1681264640 authenticatorhpp243 receive sasl authentication start i1120 151339856487 1681264640 authenticatorhpp325 authentication require step i1120 151339856531 1681264640 authenticateehpp258 receive sasl authentication step i1120 151339856576 1681264640 authenticatorhpp271 receive sasl authentication step i1120 151339856643 1681264640 authenticatorhpp317 authentication success i1120 151339856724 1681264640 authenticateehpp298 authentication success i1120 151339856768 1681264640 mastercpp1774 successfully authenticate framework scheduler11722513317152576 i1120 151339857028 1681264640 schedcpp334 successfully authenticate master master1722513317152576 i1120 151339857139 1681264640 mastercpp798 receive registration request scheduler11722513317152576 i1120 151339857306 1681264640 mastercpp816 registering framework 20131120151328776267965257632340000 scheduler11722513317152576 i1120 151339862296 1680191488 hierarchical_allocator_processhpp332 add framework 20131120151328776267965257632340000 i1120 151339863867 1680191488 mastercpp1700 send 3 offer framework 20131120151328776267965257632340000 register d   20131120151328776267965257632340000 launch task 0 launch task 1 launch task 2 i1120 151339905390 1680191488 mastercpp2026 processing reply offer 20131120151328776267965257632340 slave 20131120151328776267965257632341 vkonelocal framework 20131120151328776267965257632340000 i1120 151339905825 1680191488 masterhpp400 add task 0 resource cpus1 mem128 slave 20131120151328776267965257632341 vkonelocal i1120 151339905886 1680191488 mastercpp2150 launch task 0 framework 20131120151328776267965257632340000 resource cpus1 mem128 slave 20131120151328776267965257632341 vkonelocal i1120 151339906422 1680191488 mastercpp2026 processing reply offer 20131120151328776267965257632341 slave 20131120151328776267965257632342 vkonelocal framework 20131120151328776267965257632340000 i1120 151339906664 1680191488 masterhpp400 add task 1 resource cpus1 mem128 slave 20131120151328776267965257632342 vkonelocal i1120 151339906721 1680191488 mastercpp2150 launch task 1 framework 20131120151328776267965257632340000 resource cpus1 mem128 slave 20131120151328776267965257632342 vkonelocal i1120 151339907171 1680191488 mastercpp2026 processing reply offer 20131120151328776267965257632342 slave 20131120151328776267965257632340 vkonelocal framework 20131120151328776267965257632340000 i1120 151339907419 1680191488 masterhpp400 add task 2 resource cpus1 mem128 slave 20131120151328776267965257632340 vkonelocal i1120 151339907480 1680191488 mastercpp2150 launch task 2 framework 20131120151328776267965257632340000 resource cpus1 mem128 slave 20131120151328776267965257632340 vkonelocal i1120 151339907938 1680191488 slavecpp722 get assign task 0 framework 20131120151328776267965257632340000 i1120 151339908473 1680191488 slavecpp833 launching task 0 framework 20131120151328776267965257632340000 i1120 151339914427 1682874368 slavecpp722 get assign task 1 framework 20131120151328776267965257632340000 i1120 151339914594 1680728064 slavecpp722 get assign task 2 framework 20131120151328776267965257632340000 i1120 151339914844 1681801216 hierarchical_allocator_processhpp590 framework 20131120151328776267965257632340000 filter slave 20131120151328776267965257632341 1secs i1120 151339915292 1682874368 slavecpp833 launch task 1 framework 20131120151328776267965257632340000 i1120 151339915424 1681801216 hierarchical_allocator_processhpp590 framework 20131120151328776267965257632340000 filter slave 20131120151328776267965257632342 1secs i1120 151339915685 1681801216 hierarchical_allocator_processhpp590 framework 20131120151328776267965257632340000 filter slave 20131120151328776267965257632340 1secs i1120 151339915828 1680728064 slavecpp833 launch task 2 framework 20131120151328776267965257632340000 i1120 151339917840 1680191488 slavecpp943 queue task 0 executor default framework 20131120151328776267965257632340000 i1120 151339917935 1679118336 process_isolatorcpp100 launch default usersvinodworkspaceapachemesosbuildsrcexamplesjavatestexecutor tmpexamplestest_javaframework_wsc7u81slaves20131120151328776267965257632341frameworks20131120151328776267965257632340000executorsdefaultruns375b31a970934db1964de6b425b1e4b4 resource   framework 20131120151328776267965257632340000 i1120 151339922019 1679118336 process_isolatorcpp163 fork executor 3268 i1120 151339922703 1679118336 slavecpp2073 monitor executor default framework 20131120151328776267965257632340000 fork pid 3268 i1120 151339929134 1682874368 slavecpp943 queue task 1 executor default framework 20131120151328776267965257632340000 i1120 151339929323 1682874368 process_isolatorcpp100 launch default usersvinodworkspaceapachemesosbuildsrcexamplesjavatestexecutor tmpexamplestest_javaframework_wsc7u82slaves20131120151328776267965257632342frameworks20131120151328776267965257632340000executorsdefaultruns2bd0e75da2b94ae6be089782612309a5 resource   framework 20131120151328776267965257632340000 i1120 151339931243 1682874368 process_isolatorcpp163 fork executor 3269 i1120 151339931612 1681801216 slavecpp2073 monitor executor default framework 20131120151328776267965257632340000 fork pid 3269 e1120 151339931836 1681801216 slavecpp2099 fail watch executor default framework 20131120151328776267965257632340000 watch i1120 151339936460 1680728064 slavecpp943 queue task 2 executor default framework 20131120151328776267965257632340000 i1120 151339936619 1681801216 process_isolatorcpp100 launch default usersvinodworkspaceapachemesosbuildsrcexamplesjavatestexecutor tmpexamplestest_javaframework_wsc7u80slaves20131120151328776267965257632340frameworks20131120151328776267965257632340000executorsdefaultruns16d600dada86461491cb58a7b27ab534 resource   framework 20131120151328776267965257632340000 i1120 151339941299 1681801216 process_isolatorcpp163 fork executor 3270 i1120 151339942179 1681801216 slavecpp2073 monitor executor default framework 20131120151328776267965257632340000 fork pid 3270 e1120 151339942395 1681801216 slavecpp2099 fail watch executor default framework 20131120151328776267965257632340000 watch fetch resource tmpexamplestest_javaframework_wsc7u82slaves20131120151328776267965257632342frameworks20131120151328776267965257632340000executorsdefaultruns2bd0e75da2b94ae6be089782612309a5 fetch resource tmpexamplestest_javaframework_wsc7u81slaves20131120151328776267965257632341frameworks20131120151328776267965257632340000executorsdefaultruns375b31a970934db1964de6b425b1e4b4 fetch resource tmpexamplestest_javaframework_wsc7u80slaves20131120151328776267965257632340frameworks20131120151328776267965257632340000executorsdefaultruns16d600dada86461491cb58a7b27ab534 i1120 151340372573 1681801216 slavecpp1406 get registration executor default framework 20131120151328776267965257632340000 i1120 151340373258 1681801216 slavecpp1527 flush queue task 1 executor default framework 20131120151328776267965257632340000 i1120 151340388317 1681801216 slavecpp1406 get registration executor default framework 20131120151328776267965257632340000 i1120 151340388983 1681801216 slavecpp1527 flush queue task 0 executor default framework 20131120151328776267965257632340000 i1120 151340398084 1679654912 slavecpp1406 get registration executor default framework 20131120151328776267965257632340000 i1120 151340399344 1679654912 slavecpp1527 flush queue task 2 executor default framework 20131120151328776267965257632340000 register executor vkonelocal i1120 151340491843 1679654912 slavecpp1740 handle status update task_runne uuid f04b18523669444a906f3675f784c14f task 1 framework 20131120151328776267965257632340000 executor11722513317152577 i1120 151340492202 1679654912 status_update_managercpp305 receive status update task_runne uuid f04b18523669444a906f3675f784c14f task 1 framework 20131120151328776267965257632340000 i1120 151340492424 1679654912 status_update_managercpp356 forward status update task_runne uuid f04b18523669444a906f3675f784c14f task 1 framework 20131120151328776267965257632340000 master1722513317152576 register executor vkonelocal i1120 151340492671 1682337792 mastercpp1452 status update task_runne uuid f04b18523669444a906f3675f784c14f task 1 framework 20131120151328776267965257632340000 slave31722513317152576 i1120 151340492735 1682337792 slavecpp1865 send acknowledgement status update task_runne uuid f04b18523669444a906f3675f784c14f task 1 framework 20131120151328776267965257632340000 executor11722513317152577 status update task 1 state task_runne i1120 151340502235 1679654912 status_update_managercpp380 receive status update acknowledgement uuid f04b18523669444a906f3675f784c14f task 1 framework 20131120151328776267965257632340000 register executor vkonelocal i1120 151340531292 1679654912 slavecpp1740 handle status update task_runne uuid c19b6a5a19ce46138a5a08fe807ff27c task 2 framework 20131120151328776267965257632340000 executor11722513317152579 i1120 151340532091 1680728064 status_update_managercpp305 receive status update task_runne uuid c19b6a5a19ce46138a5a08fe807ff27c task 2 framework 20131120151328776267965257632340000 i1120 151340532305 1680728064 status_update_managercpp356 forward status update task_runne uuid c19b6a5a19ce46138a5a08fe807ff27c task 2 framework 20131120151328776267965257632340000 master1722513317152576 i1120 151340532776 1682874368 slavecpp1865 send acknowledgement status update task_runne uuid c19b6a5a19ce46138a5a08fe807ff27c task 2 framework 20131120151328776267965257632340000 executor11722513317152579 i1120 151340532951 1681801216 mastercpp1452 status update task_runne uuid c19b6a5a19ce46138a5a08fe807ff27c task 2 framework 20131120151328776267965257632340000 slave11722513317152576 status update task 2 state task_runne i1120 151340538895 1682874368 status_update_managercpp380 receive status update acknowledgement uuid c19b6a5a19ce46138a5a08fe807ff27c task 2 framework 20131120151328776267965257632340000 i1120 151340541267 1682874368 slavecpp1740 handle status update task_running uuid c218b0c3d77c49018570391c330ba117 task 0 framework 20131120151328776267965257632340000 executor11722513317152578 i1120 151340541555 1682874368 status_update_managercpp305 receive status update task_running uuid c218b0c3d77c49018570391c330ba117 task 0 framework 20131120151328776267965257632340000 i1120 151340541725 1682874368 status_update_managercpp356 forward status update task_running uuid c218b0c3d77c49018570391c330ba117 task 0 framework 20131120151328776267965257632340000 master1722513317152576 i1120 151340542196 1682874368 mastercpp1452 status update task_running uuid c218b0c3d77c49018570391c330ba117 task 0 framework 20131120151328776267965257632340000 slave21722513317152576 i1120 151340542251 1682874368 slavecpp1865 send acknowledgement status update task_running uuid c218b0c3d77c49018570391c330ba117 task 0 framework 20131120151328776267965257632340000 executor11722513317152578 status update task 0 state task_runne i1120 151340545537 1682874368 status_update_managercpp380 receive status update acknowledgement uuid c218b0c3d77c49018570391c330ba117 task 0,8
