text,storypoint
report executor terminations to framework schedulers the scheduler interface has a callback for executorlost but currently it is never called,2
mesos slave should cache executors the slave should be smarter about how it handles pulling down executors in our environment executors rarely change but the slave will always pull it down from regardless hdfs this puts undue stress on our hdfs clusters and is not resilient to reduced hdfs availability,5
expose task_failed reason to frameworks we now have a message string inside taskstatus that provides human readable information about task_failed it would be good to add some structure to the failure reasons for framework schedulers to act on programmatically eg enum taskfailure  executor_oom executor_out_of_disk executor_terminated slave_lost etc,8
balloon framework fails to run due to bad flags i suspect this has to do with the latest flags refactor vinodsmfdbkq03sr4 build sudo glog_v1 binmesostestssh gtest_filterballoon verbose warning logging before initgooglelogging is written to stderr i0529 222813094351 31506 processcpp1426 libprocess is initialized on 103718410353425 for 24 cpus i0529 222813095010 31506 loggingcpp91 logging to stderr source directory homevinodmesos build directory homevinodmesosbuild  we cannot run any cgroups tests that require mounting hierarchies because you have the following hierarchies mounted cgroup well disable the cgroupsnohierarchytest test fixture for now  note google test filter  ballooncgroupsnohierarchytestroot_cgroups_nohierarchy_mountunmounthierarchy  running 1 test from 1 test case  global test environment setup  1 test from cgroupsisolatortest  run  cgroupsisolatortestroot_cgroups_balloonframework using temporary directory tmpcgroupsisolatortest_root_cgroups_balloonframework_pwwde1 launched master at 31574 failed to load unknown flag build_dir usage ltmesosmaster  supported options allocation_intervalvalue amount of time to wait between performing batch allocations eg 500ms 1sec etc default 1secs clustervalue human readable name for the cluster displayed in the webui framework_sortervalue policy to use for allocating resources between a given users frameworks options are the same as for user_allocator default drf nohelp prints this help message default false ipvalue ip address to listen on log_dirvalue location to put log files no default nothing is written to disk unless specified does not affect logging to stderr logbufsecsvalue how many seconds to buffer log messages for default 0 portvalue port to listen on default 5050 noquiet disable logging to stderr default false noroot_submissions can root submit frameworks default true slavesvalue initial slaves that should be considered part of this cluster or if using zookeeper a url default  user_sortervalue policy to use for allocating resources between users may be one of dominant_resource_fairness drf default drf webui_dirvalue location of the webui filesassets default usrlocalsharemesoswebui whitelistvalue path to a file with a list of slaves one per line to advertise offers for should be of the form filepathtofile default  zkvalue zookeeper url used for leader election amongst masters may be one of zkhost1port1host2port2path zkusernamepasswordhost1port1host2port2path filepathtofile where file contains one of the above default  redmaster crashed failing test homevinodmesossrctestsballoon_framework_testsh line 31 kill 31574  no such process srctestsscriptcpp76 failure failed balloon_framework_testsh exited with status 2  failed  cgroupsisolatortestroot_cgroups_balloonframework 2031 ms  1 test from cgroupsisolatortest 2031 ms total  global test environment teardown  1 test from 1 test case ran 2031 ms total  passed  0 tests  failed  1 test listed below  failed  cgroupsisolatortestroot_cgroups_balloonframework 1 failed test,1
also check git diff shortstat staged in postreviewspy we current check if you have any changes before we run postreviewspy but we dont check for staged changes which iiuc could get lost,1
static files missing lastmodified http headers static assets served by the mesos master dont return lastmodified http headers that means clients receive a 200 status code and redownload assets on every page request even if the assets havent changed because angular js does most of the work the downloading happens only when you navigate to mesos master in your browser or use the browsers refresh example header for mesoscss http11 200 ok date thu 26 sep 2013 171852 gmt contentlength 1670 contenttype textcss clients sometimes use the date header for the same effect as lastmodified but the date is always the time of the response from the server ie it changes on every request and makes the assets look new every time the lastmodified header should be added and should be the last modified time of the file on subsequent requests for the same files the master should return 304 responses with no content rather than 200 with the full files it could save clients a lot of download time since mesos assets are rather heavyweight,2
expose total number of resources allocated to the slave in its endpoint this could be useful information if there are bugs in masterslave that causes slaves to overcommit its resources,2
slaverecoverytest0reconciletasksmissingfromslave test is flaky  run  slaverecoverytest0reconciletasksmissingfromslave checkpointing executors forked pid 32281 to tmpslaverecoverytest_0_reconciletasksmissingfromslave_nt1btbmetaslaves2013101519131677734335153314910frameworks2013101519131677734335153314910000executors0514b52f3c174ee5ba16635198701ca2runs97c9e2ccceea40a8a915aed5fed1dcb3pidsforkedpid fetching resources into tmpslaverecoverytest_0_reconciletasksmissingfromslave_nt1btbslaves2013101519131677734335153314910frameworks2013101519131677734335153314910000executors0514b52f3c174ee5ba16635198701ca2runs97c9e2ccceea40a8a915aed5fed1dcb3 registered executor on localhostlocaldomain starting task 0514b52f3c174ee5ba16635198701ca2 forked command at 32317 sh c sleep 10 testsslave_recovery_testscpp1927 failure mock function called more times than expected  returning directly function call statusupdate0x7fffae636eb0 0x7f1590027a00 64byte object f02f d0a1 157f 0000 0000 0000 0000 0000 40e9 0190 157f 0000 206b 0390 157f 0000 4891 c300 0000 0000 b03b 0190 157f 0000 0500 0000 0000 0000 1700 0000 0000 0000 expected to be called once actual called twice  oversaturated and active command exited with status 0 pid 32317,1
update semantics of when framework registeredreregistered get called current semantics 1 framework connects w master very first time  registered 2 framework reconnects w same master after a zk blip  reregistered 3 framework reconnects w failed over master  registered 4 failed over framework connects w same master  registered 5 failed over framework connects w failed over master  registered updated semantics everything same except 3 framework reconnects w failed over master  reregistered,3
examplestestjavaframework is flaky identify the cause of the following test failure  run  examplestestjavaframework using temporary directory tmpexamplestest_javaframework_wsc7u8 enabling authentication for the framework i1120 151339820032 1681264640 mastercpp285 master started on 1722513317152576 i1120 151339820180 1681264640 mastercpp299 master id 2013112015132877626796525763234 i1120 151339820194 1681264640 mastercpp302 master only allowing authenticated frameworks to register i1120 151339821197 1679654912 slavecpp112 slave started on 11722513317152576 i1120 151339821795 1679654912 slavecpp212 slave resources cpus4 mem7168 disk481998 ports3100032000 i1120 151339822855 1682337792 slavecpp112 slave started on 21722513317152576 i1120 151339823652 1682337792 slavecpp212 slave resources cpus4 mem7168 disk481998 ports3100032000 i1120 151339825330 1679118336 mastercpp744 the newly elected leader is master1722513317152576 i1120 151339825445 1679118336 mastercpp748 elected as the leading master i1120 151339825907 1681264640 statecpp33 recovering state from tmpexamplestest_javaframework_wsc7u80meta i1120 151339826127 1681264640 status_update_managercpp180 recovering status update manager i1120 151339826331 1681801216 process_isolatorcpp317 recovering isolator i1120 151339826738 1682874368 slavecpp2743 finished recovery i1120 151339827747 1682337792 statecpp33 recovering state from tmpexamplestest_javaframework_wsc7u81meta i1120 151339827945 1680191488 slavecpp112 slave started on 31722513317152576 i1120 151339828415 1682337792 status_update_managercpp180 recovering status update manager i1120 151339828608 1680728064 schedcpp260 authenticating with master master1722513317152576 i1120 151339828606 1680191488 slavecpp212 slave resources cpus4 mem7168 disk481998 ports3100032000 i1120 151339828680 1682874368 slavecpp497 new master detected at master1722513317152576 i1120 151339828765 1682337792 process_isolatorcpp317 recovering isolator i1120 151339829828 1680728064 schedcpp229 detecting new master i1120 151339830288 1679654912 authenticateehpp100 initializing client sasl i1120 151339831635 1680191488 statecpp33 recovering state from tmpexamplestest_javaframework_wsc7u82meta i1120 151339831991 1679118336 status_update_managercpp158 new master detected at master1722513317152576 i1120 151339832042 1682874368 slavecpp524 detecting new master i1120 151339832314 1682337792 slavecpp2743 finished recovery i1120 151339832309 1681264640 mastercpp1266 attempting to register slave on vkonelocal at slave11722513317152576 i1120 151339832929 1680728064 status_update_managercpp180 recovering status update manager i1120 151339833371 1681801216 slavecpp497 new master detected at master1722513317152576 i1120 151339833273 1681264640 mastercpp2513 adding slave 20131120151328776267965257632340 at vkonelocal with cpus4 mem7168 disk481998 ports3100032000 i1120 151339833595 1680728064 process_isolatorcpp317 recovering isolator i1120 151339833859 1681801216 slavecpp524 detecting new master i1120 151339833861 1682874368 status_update_managercpp158 new master detected at master1722513317152576 i1120 151339834092 1680191488 slavecpp542 registered with master master1722513317152576 given slave id 20131120151328776267965257632340 i1120 151339834486 1681264640 mastercpp1266 attempting to register slave on vkonelocal at slave21722513317152576 i1120 151339834549 1681264640 mastercpp2513 adding slave 20131120151328776267965257632341 at vkonelocal with cpus4 mem7168 disk481998 ports3100032000 i1120 151339834750 1680191488 slavecpp555 checkpointing slaveinfo to tmpexamplestest_javaframework_wsc7u80metaslaves20131120151328776267965257632340slaveinfo i1120 151339834875 1682874368 hierarchical_allocator_processhpp445 added slave 20131120151328776267965257632340 vkonelocal with cpus4 mem7168 disk481998 ports3100032000 and cpus4 mem7168 disk481998 ports3100032000 available i1120 151339835155 1680728064 slavecpp542 registered with master master1722513317152576 given slave id 20131120151328776267965257632341 i1120 151339835458 1679118336 slavecpp2743 finished recovery i1120 151339835739 1680728064 slavecpp555 checkpointing slaveinfo to tmpexamplestest_javaframework_wsc7u81metaslaves20131120151328776267965257632341slaveinfo i1120 151339835922 1682874368 hierarchical_allocator_processhpp445 added slave 20131120151328776267965257632341 vkonelocal with cpus4 mem7168 disk481998 ports3100032000 and cpus4 mem7168 disk481998 ports3100032000 available i1120 151339836120 1681264640 slavecpp497 new master detected at master1722513317152576 i1120 151339836340 1679118336 status_update_managercpp158 new master detected at master1722513317152576 i1120 151339836436 1681264640 slavecpp524 detecting new master i1120 151339836629 1682874368 mastercpp1266 attempting to register slave on vkonelocal at slave31722513317152576 i1120 151339836653 1682874368 mastercpp2513 adding slave 20131120151328776267965257632342 at vkonelocal with cpus4 mem7168 disk481998 ports3100032000 i1120 151339836804 1680728064 slavecpp542 registered with master master1722513317152576 given slave id 20131120151328776267965257632342 i1120 151339837190 1680728064 slavecpp555 checkpointing slaveinfo to tmpexamplestest_javaframework_wsc7u82metaslaves20131120151328776267965257632342slaveinfo i1120 151339837569 1682874368 hierarchical_allocator_processhpp445 added slave 20131120151328776267965257632342 vkonelocal with cpus4 mem7168 disk481998 ports3100032000 and cpus4 mem7168 disk481998 ports3100032000 available i1120 151339852011 1679654912 authenticateehpp124 creating new client sasl connection i1120 151339852219 1680191488 mastercpp1734 authenticating framework at scheduler11722513317152576 i1120 151339852577 1682337792 authenticatorhpp83 initializing server sasl i1120 151339856160 1682337792 authenticatorhpp140 creating new server sasl connection i1120 151339856334 1681264640 authenticateehpp212 received sasl authentication mechanisms crammd5 i1120 151339856360 1681264640 authenticateehpp238 attempting to authenticate with mechanism crammd5 i1120 151339856421 1681264640 authenticatorhpp243 received sasl authentication start i1120 151339856487 1681264640 authenticatorhpp325 authentication requires more steps i1120 151339856531 1681264640 authenticateehpp258 received sasl authentication step i1120 151339856576 1681264640 authenticatorhpp271 received sasl authentication step i1120 151339856643 1681264640 authenticatorhpp317 authentication success i1120 151339856724 1681264640 authenticateehpp298 authentication success i1120 151339856768 1681264640 mastercpp1774 successfully authenticated framework at scheduler11722513317152576 i1120 151339857028 1681264640 schedcpp334 successfully authenticated with master master1722513317152576 i1120 151339857139 1681264640 mastercpp798 received registration request from scheduler11722513317152576 i1120 151339857306 1681264640 mastercpp816 registering framework 20131120151328776267965257632340000 at scheduler11722513317152576 i1120 151339862296 1680191488 hierarchical_allocator_processhpp332 added framework 20131120151328776267965257632340000 i1120 151339863867 1680191488 mastercpp1700 sending 3 offers to framework 20131120151328776267965257632340000 registered id  20131120151328776267965257632340000 launching task 0 launching task 1 launching task 2 i1120 151339905390 1680191488 mastercpp2026 processing reply for offer 20131120151328776267965257632340 on slave 20131120151328776267965257632341 vkonelocal for framework 20131120151328776267965257632340000 i1120 151339905825 1680191488 masterhpp400 adding task 0 with resources cpus1 mem128 on slave 20131120151328776267965257632341 vkonelocal i1120 151339905886 1680191488 mastercpp2150 launching task 0 of framework 20131120151328776267965257632340000 with resources cpus1 mem128 on slave 20131120151328776267965257632341 vkonelocal i1120 151339906422 1680191488 mastercpp2026 processing reply for offer 20131120151328776267965257632341 on slave 20131120151328776267965257632342 vkonelocal for framework 20131120151328776267965257632340000 i1120 151339906664 1680191488 masterhpp400 adding task 1 with resources cpus1 mem128 on slave 20131120151328776267965257632342 vkonelocal i1120 151339906721 1680191488 mastercpp2150 launching task 1 of framework 20131120151328776267965257632340000 with resources cpus1 mem128 on slave 20131120151328776267965257632342 vkonelocal i1120 151339907171 1680191488 mastercpp2026 processing reply for offer 20131120151328776267965257632342 on slave 20131120151328776267965257632340 vkonelocal for framework 20131120151328776267965257632340000 i1120 151339907419 1680191488 masterhpp400 adding task 2 with resources cpus1 mem128 on slave 20131120151328776267965257632340 vkonelocal i1120 151339907480 1680191488 mastercpp2150 launching task 2 of framework 20131120151328776267965257632340000 with resources cpus1 mem128 on slave 20131120151328776267965257632340 vkonelocal i1120 151339907938 1680191488 slavecpp722 got assigned task 0 for framework 20131120151328776267965257632340000 i1120 151339908473 1680191488 slavecpp833 launching task 0 for framework 20131120151328776267965257632340000 i1120 151339914427 1682874368 slavecpp722 got assigned task 1 for framework 20131120151328776267965257632340000 i1120 151339914594 1680728064 slavecpp722 got assigned task 2 for framework 20131120151328776267965257632340000 i1120 151339914844 1681801216 hierarchical_allocator_processhpp590 framework 20131120151328776267965257632340000 filtered slave 20131120151328776267965257632341 for 1secs i1120 151339915292 1682874368 slavecpp833 launching task 1 for framework 20131120151328776267965257632340000 i1120 151339915424 1681801216 hierarchical_allocator_processhpp590 framework 20131120151328776267965257632340000 filtered slave 20131120151328776267965257632342 for 1secs i1120 151339915685 1681801216 hierarchical_allocator_processhpp590 framework 20131120151328776267965257632340000 filtered slave 20131120151328776267965257632340 for 1secs i1120 151339915828 1680728064 slavecpp833 launching task 2 for framework 20131120151328776267965257632340000 i1120 151339917840 1680191488 slavecpp943 queuing task 0 for executor default of framework 20131120151328776267965257632340000 i1120 151339917935 1679118336 process_isolatorcpp100 launching default usersvinodworkspaceapachemesosbuildsrcexamplesjavatestexecutor in tmpexamplestest_javaframework_wsc7u81slaves20131120151328776267965257632341frameworks20131120151328776267965257632340000executorsdefaultruns375b31a970934db1964de6b425b1e4b4 with resources  for framework 20131120151328776267965257632340000 i1120 151339922019 1679118336 process_isolatorcpp163 forked executor at 3268 i1120 151339922703 1679118336 slavecpp2073 monitoring executor default of framework 20131120151328776267965257632340000 forked at pid 3268 i1120 151339929134 1682874368 slavecpp943 queuing task 1 for executor default of framework 20131120151328776267965257632340000 i1120 151339929323 1682874368 process_isolatorcpp100 launching default usersvinodworkspaceapachemesosbuildsrcexamplesjavatestexecutor in tmpexamplestest_javaframework_wsc7u82slaves20131120151328776267965257632342frameworks20131120151328776267965257632340000executorsdefaultruns2bd0e75da2b94ae6be089782612309a5 with resources  for framework 20131120151328776267965257632340000 i1120 151339931243 1682874368 process_isolatorcpp163 forked executor at 3269 i1120 151339931612 1681801216 slavecpp2073 monitoring executor default of framework 20131120151328776267965257632340000 forked at pid 3269 e1120 151339931836 1681801216 slavecpp2099 failed to watch executor default of framework 20131120151328776267965257632340000 already watched i1120 151339936460 1680728064 slavecpp943 queuing task 2 for executor default of framework 20131120151328776267965257632340000 i1120 151339936619 1681801216 process_isolatorcpp100 launching default usersvinodworkspaceapachemesosbuildsrcexamplesjavatestexecutor in tmpexamplestest_javaframework_wsc7u80slaves20131120151328776267965257632340frameworks20131120151328776267965257632340000executorsdefaultruns16d600dada86461491cb58a7b27ab534 with resources  for framework 20131120151328776267965257632340000 i1120 151339941299 1681801216 process_isolatorcpp163 forked executor at 3270 i1120 151339942179 1681801216 slavecpp2073 monitoring executor default of framework 20131120151328776267965257632340000 forked at pid 3270 e1120 151339942395 1681801216 slavecpp2099 failed to watch executor default of framework 20131120151328776267965257632340000 already watched fetching resources into tmpexamplestest_javaframework_wsc7u82slaves20131120151328776267965257632342frameworks20131120151328776267965257632340000executorsdefaultruns2bd0e75da2b94ae6be089782612309a5 fetching resources into tmpexamplestest_javaframework_wsc7u81slaves20131120151328776267965257632341frameworks20131120151328776267965257632340000executorsdefaultruns375b31a970934db1964de6b425b1e4b4 fetching resources into tmpexamplestest_javaframework_wsc7u80slaves20131120151328776267965257632340frameworks20131120151328776267965257632340000executorsdefaultruns16d600dada86461491cb58a7b27ab534 i1120 151340372573 1681801216 slavecpp1406 got registration for executor default of framework 20131120151328776267965257632340000 i1120 151340373258 1681801216 slavecpp1527 flushing queued task 1 for executor default of framework 20131120151328776267965257632340000 i1120 151340388317 1681801216 slavecpp1406 got registration for executor default of framework 20131120151328776267965257632340000 i1120 151340388983 1681801216 slavecpp1527 flushing queued task 0 for executor default of framework 20131120151328776267965257632340000 i1120 151340398084 1679654912 slavecpp1406 got registration for executor default of framework 20131120151328776267965257632340000 i1120 151340399344 1679654912 slavecpp1527 flushing queued task 2 for executor default of framework 20131120151328776267965257632340000 registered executor on vkonelocal i1120 151340491843 1679654912 slavecpp1740 handling status update task_running uuid f04b18523669444a906f3675f784c14f for task 1 of framework 20131120151328776267965257632340000 from executor11722513317152577 i1120 151340492202 1679654912 status_update_managercpp305 received status update task_running uuid f04b18523669444a906f3675f784c14f for task 1 of framework 20131120151328776267965257632340000 i1120 151340492424 1679654912 status_update_managercpp356 forwarding status update task_running uuid f04b18523669444a906f3675f784c14f for task 1 of framework 20131120151328776267965257632340000 to master1722513317152576 registered executor on vkonelocal i1120 151340492671 1682337792 mastercpp1452 status update task_running uuid f04b18523669444a906f3675f784c14f for task 1 of framework 20131120151328776267965257632340000 from slave31722513317152576 i1120 151340492735 1682337792 slavecpp1865 sending acknowledgement for status update task_running uuid f04b18523669444a906f3675f784c14f for task 1 of framework 20131120151328776267965257632340000 to executor11722513317152577 status update task 1 is in state task_running i1120 151340502235 1679654912 status_update_managercpp380 received status update acknowledgement uuid f04b18523669444a906f3675f784c14f for task 1 of framework 20131120151328776267965257632340000 registered executor on vkonelocal i1120 151340531292 1679654912 slavecpp1740 handling status update task_running uuid c19b6a5a19ce46138a5a08fe807ff27c for task 2 of framework 20131120151328776267965257632340000 from executor11722513317152579 i1120 151340532091 1680728064 status_update_managercpp305 received status update task_running uuid c19b6a5a19ce46138a5a08fe807ff27c for task 2 of framework 20131120151328776267965257632340000 i1120 151340532305 1680728064 status_update_managercpp356 forwarding status update task_running uuid c19b6a5a19ce46138a5a08fe807ff27c for task 2 of framework 20131120151328776267965257632340000 to master1722513317152576 i1120 151340532776 1682874368 slavecpp1865 sending acknowledgement for status update task_running uuid c19b6a5a19ce46138a5a08fe807ff27c for task 2 of framework 20131120151328776267965257632340000 to executor11722513317152579 i1120 151340532951 1681801216 mastercpp1452 status update task_running uuid c19b6a5a19ce46138a5a08fe807ff27c for task 2 of framework 20131120151328776267965257632340000 from slave11722513317152576 status update task 2 is in state task_running i1120 151340538895 1682874368 status_update_managercpp380 received status update acknowledgement uuid c19b6a5a19ce46138a5a08fe807ff27c for task 2 of framework 20131120151328776267965257632340000 i1120 151340541267 1682874368 slavecpp1740 handling status update task_running uuid c218b0c3d77c49018570391c330ba117 for task 0 of framework 20131120151328776267965257632340000 from executor11722513317152578 i1120 151340541555 1682874368 status_update_managercpp305 received status update task_running uuid c218b0c3d77c49018570391c330ba117 for task 0 of framework 20131120151328776267965257632340000 i1120 151340541725 1682874368 status_update_managercpp356 forwarding status update task_running uuid c218b0c3d77c49018570391c330ba117 for task 0 of framework 20131120151328776267965257632340000 to master1722513317152576 i1120 151340542196 1682874368 mastercpp1452 status update task_running uuid c218b0c3d77c49018570391c330ba117 for task 0 of framework 20131120151328776267965257632340000 from slave21722513317152576 i1120 151340542251 1682874368 slavecpp1865 sending acknowledgement for status update task_running uuid c218b0c3d77c49018570391c330ba117 for task 0 of framework 20131120151328776267965257632340000 to executor11722513317152578 status update task 0 is in state task_running i1120 151340545537 1682874368 status_update_managercpp380 received status update acknowledgement uuid c218b0c3d77c49018570391c330ba117 for task 0 of,8
